                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7183,                 3.8823,                 1.3454,                0.19034,                0.55302,                0.22362,                0.13921,                 1.3304,                 2.2193,                 1.1056,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.3826,                  2.294,                 1.1445,                0.67377,                0.76301,                0.79338,                0.51741,                 1.2788,                 1.2615,                 1.0981,              0.0065322,              0.0065322,              0.0065322
                      3,                 1.3485,                  1.604,                 1.1295,                 0.9193,                0.93717,                0.98097,                0.63865,                 1.2867,                0.75197,                 1.0914,              0.0096016,              0.0096016,              0.0096016
                      4,                  1.327,                  1.156,                 1.1202,                0.98224,                 0.9867,                0.99371,                0.68352,                 1.1648,                0.58874,                 1.0402,               0.009406,               0.009406,               0.009406
                      5,                 1.2977,                 0.9298,                 1.1065,                0.99171,                0.99359,                0.99467,                0.66943,                  1.246,                0.53508,                 1.0654,               0.009406,               0.009406,               0.009406
                      6,                 1.2841,                0.82815,                 1.0958,                0.99541,                0.99681,                 0.9948,                0.67887,                 1.2087,                0.50703,                 1.0521,               0.009208,               0.009208,               0.009208
                      7,                 1.2633,                 0.7616,                 1.0868,                0.99592,                0.99795,                0.99494,                0.65954,                 1.2831,                0.48702,                 1.0631,                0.00901,                0.00901,                0.00901
                      8,                 1.2566,                0.72573,                 1.0848,                0.99627,                0.99697,                0.99474,                0.71464,                 1.0982,                0.44521,                 1.0105,               0.008812,               0.008812,               0.008812
                      9,                 1.2479,                0.69991,                 1.0773,                0.99679,                0.99788,                0.99496,                0.71415,                 1.1158,                0.43376,                 1.0087,               0.008614,               0.008614,               0.008614
                     10,                 1.2343,                0.67631,                 1.0716,                0.99819,                0.99938,                0.99495,                0.72414,                 1.0815,                0.41935,                0.99419,               0.008416,               0.008416,               0.008416
                     11,                 1.2219,                 0.6569,                 1.0665,                 0.9982,                0.99968,                0.99498,                0.74289,                 1.0299,                0.39919,                0.98037,               0.008218,               0.008218,               0.008218
                     12,                 1.2131,                 0.6445,                 1.0607,                0.99839,                0.99955,                0.99497,                0.75915,                0.96725,                0.38297,                0.95842,                0.00802,                0.00802,                0.00802
                     13,                 1.2012,                0.62809,                 1.0558,                0.99871,                0.99945,                0.99499,                0.75728,                0.98128,                0.37791,                0.96336,               0.007822,               0.007822,               0.007822
                     14,                 1.2011,                0.62129,                 1.0534,                0.99783,                0.99918,                0.99492,                0.77252,                0.92264,                0.36489,                0.94533,               0.007624,               0.007624,               0.007624
                     15,                 1.1883,                0.60531,                 1.0505,                0.99853,                 0.9994,                  0.995,                0.77189,                0.93728,                0.36052,                0.95098,               0.007426,               0.007426,               0.007426
                     16,                 1.1883,                0.60217,                 1.0493,                 0.9984,                0.99981,                0.99491,                0.78999,                 0.8716,                0.34914,                0.92994,               0.007228,               0.007228,               0.007228
                     17,                 1.1795,                0.59427,                 1.0459,                0.99858,                0.99956,                  0.995,                0.79342,                0.86121,                0.34483,                0.92579,                0.00703,                0.00703,                0.00703
                     18,                 1.1779,                0.58671,                  1.044,                0.99891,                0.99972,                  0.995,                0.79372,                0.86733,                 0.3428,                0.92686,               0.006832,               0.006832,               0.006832
                     19,                 1.1726,                0.57677,                 1.0425,                0.99866,                0.99974,                  0.995,                0.79511,                 0.8654,                0.33953,                0.92279,               0.006634,               0.006634,               0.006634
                     20,                 1.1652,                0.57088,                 1.0367,                0.99885,                0.99978,                  0.995,                0.79238,                0.87626,                0.33631,                0.92532,               0.006436,               0.006436,               0.006436
                     21,                 1.1648,                0.56975,                 1.0397,                 0.9989,                0.99965,                  0.995,                0.80518,                0.82955,                0.32879,                0.91458,               0.006238,               0.006238,               0.006238
                     22,                 1.1571,                0.56151,                 1.0342,                0.99915,                0.99985,                  0.995,                 0.8056,                0.82619,                0.32783,                 0.9121,                0.00604,                0.00604,                0.00604
                     23,                 1.1526,                 0.5573,                 1.0339,                0.99903,                0.99978,                  0.995,                0.81238,                0.80231,                0.32361,                0.90503,               0.005842,               0.005842,               0.005842
                     24,                 1.1523,                0.55035,                 1.0333,                 0.9991,                0.99979,                  0.995,                0.81991,                0.78467,                0.31753,                0.90033,               0.005644,               0.005644,               0.005644
                     25,                 1.1456,                0.54561,                 1.0301,                0.99888,                0.99984,                  0.995,                0.81253,                0.81215,                0.32032,                0.90738,               0.005446,               0.005446,               0.005446
                     26,                 1.1385,                0.54193,                  1.026,                0.99888,                0.99963,                  0.995,                0.81836,                0.79307,                0.31739,                0.89989,               0.005248,               0.005248,               0.005248
                     27,                 1.1367,                0.53703,                 1.0259,                0.99907,                0.99974,                  0.995,                 0.8184,                0.79387,                0.31538,                0.89986,                0.00505,                0.00505,                0.00505
                     28,                  1.128,                0.53444,                 1.0234,                0.99913,                0.99975,                  0.995,                0.81979,                0.79372,                0.31395,                0.89873,               0.004852,               0.004852,               0.004852
                     29,                 1.1292,                0.52962,                 1.0247,                0.99916,                0.99982,                  0.995,                0.82556,                0.77676,                0.31108,                0.89421,               0.004654,               0.004654,               0.004654
                     30,                 1.1248,                0.52598,                 1.0235,                0.99916,                 0.9997,                  0.995,                0.82542,                0.77247,                0.30876,                0.89284,               0.004456,               0.004456,               0.004456
                     31,                 1.1187,                0.52086,                 1.0195,                0.99922,                0.99967,                  0.995,                0.82714,                0.76988,                0.30705,                0.89178,               0.004258,               0.004258,               0.004258
                     32,                 1.1136,                0.51892,                 1.0174,                0.99912,                0.99987,                  0.995,                0.82666,                 0.7727,                0.30627,                0.89155,                0.00406,                0.00406,                0.00406
                     33,                  1.107,                0.51271,                 1.0168,                0.99924,                0.99988,                  0.995,                0.82754,                0.76938,                0.30351,                0.89088,               0.003862,               0.003862,               0.003862
                     34,                 1.1077,                0.51122,                 1.0151,                0.99918,                 0.9999,                  0.995,                0.83237,                0.75316,                0.30039,                0.88624,               0.003664,               0.003664,               0.003664
                     35,                 1.0966,                0.50457,                 1.0098,                0.99921,                0.99995,                  0.995,                0.83303,                0.74608,                0.29926,                0.88406,               0.003466,               0.003466,               0.003466
                     36,                  1.095,                0.50126,                 1.0117,                0.99915,                      1,                  0.995,                0.83243,                0.75378,                0.29927,                 0.8855,               0.003268,               0.003268,               0.003268
                     37,                 1.0912,                0.49865,                 1.0078,                 0.9992,                0.99999,                  0.995,                0.83309,                0.75138,                 0.2983,                0.88451,                0.00307,                0.00307,                0.00307
                     38,                 1.0839,                0.49685,                 1.0053,                0.99924,                0.99995,                  0.995,                0.83337,                0.75032,                0.29739,                0.88371,               0.002872,               0.002872,               0.002872
                     39,                 1.0832,                0.49451,                 1.0052,                0.99925,                0.99997,                  0.995,                0.83508,                0.74239,                0.29579,                0.88198,               0.002674,               0.002674,               0.002674
                     40,                 1.0772,                0.48841,                 1.0046,                0.99919,                0.99997,                  0.995,                0.83457,                0.74427,                0.29563,                0.88216,               0.002476,               0.002476,               0.002476
